'COLORSTYLE','SKU','PO_HDR','COUNTRY_OF_ORIGIN','MATERIAL','PRODUCT_SHORT_NAME','PRODUCT_LONG_DESCRIPTION','COLOR_GROUP','COLOR_DESCRIPTION','BULLET_1','BULLET_2','BULLET_3','BULLET_4','BULLET_5','BULLET_6','BULLET_7','BULLET_8','BULLET_9','WEIGHT','KEYWORD_OCCASION'
318706901,'891950696531',113616,'IT','Leather / Rubber','brown leather oxfords','Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.','Brown','Brown','Smooth leather upper','Rounded toe','Lace-up vamp','Leather interior','Leather sole with rubber insert','1'''' heel','','','',,''
318706901,'891950769266',113782,'IT','Leather / Rubber','brown leather oxfords','Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.','Brown','Brown','Smooth leather upper','Rounded toe','Lace-up vamp','Leather interior','Leather sole with rubber insert','1'''' heel','','','',,''
318706901,'891950696593',113616,'IT','Leather / Rubber','brown leather oxfords','Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.','Brown','Brown','Smooth leather upper','Rounded toe','Lace-up vamp','Leather interior','Leather sole with rubber insert','1'''' heel','','','',,''
318706901,'891950769273',113782,'IT','Leather / Rubber','brown leather oxfords','Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.','Brown','Brown','Smooth leather upper','Rounded toe','Lace-up vamp','Leather interior','Leather sole with rubber insert','1'''' heel','','','',,''
318706901,'891950696555',113616,'IT','Leather / Rubber','brown leather oxfords','Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.','Brown','Brown','Smooth leather upper','Rounded toe','Lace-up vamp','Leather interior','Leather sole with rubber insert','1'''' heel','','','',,''
318706901,'101000007100',116297,'IT','Leather / Rubber','brown leather oxfords','Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.','Brown','Brown','Smooth leather upper','Rounded toe','Lace-up vamp','Leather interior','Leather sole with rubber insert','1'''' heel','','','',,''
318706901,'891950696609',113616,'IT','Leather / Rubber','brown leather oxfords','Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.','Brown','Brown','Smooth leather upper','Rounded toe','Lace-up vamp','Leather interior','Leather sole with rubber insert','1'''' heel','','','',,''
318706901,'891950696609',113616,'IT','Leather / Rubber','brown leather oxfords','Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.','Brown','Brown','Smooth leather upper','Rounded toe','Lace-up vamp','Leather interior','Leather sole with rubber insert','1'''' heel','','','',,''
318706901,'101000007095',116297,'IT','Leather / Rubber','brown leather oxfords','Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.','Brown','Brown','Smooth leather upper','Rounded toe','Lace-up vamp','Leather interior','Leather sole with rubber insert','1'''' heel','','','',,''
318706901,'891950769303',113782,'IT','Leather / Rubber','brown leather oxfords','Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.','Brown','Brown','Smooth leather upper','Rounded toe','Lace-up vamp','Leather interior','Leather sole with rubber insert','1'''' heel','','','',,''
318706901,'101000007095',116297,'IT','Leather / Rubber','brown leather oxfords','Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.','Brown','Brown','Smooth leather upper','Rounded toe','Lace-up vamp','Leather interior','Leather sole with rubber insert','1'''' heel','','','',,''
318706901,'891950769297',113782,'IT','Leather / Rubber','brown leather oxfords','Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.','Brown','Brown','Smooth leather upper','Rounded toe','Lace-up vamp','Leather interior','Leather sole with rubber insert','1'''' heel','','','',,''
319017801,'891951470062',115111,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891951235869',114752,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891950879750',114005,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891950879750',114005,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891950879712',114005,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
